,date,no_data,no_water,water,total_pixels,total_obs,prop_water,prop_obs,prop_water_dq,prop_obs_gt_dq
119,1994-02-01,39155.419607843156,1926494.97647057,185165.89019607843,2150816.286274492,2111660.8666666485,0.08768732381178759,0.98179508874946,0.08768732381178759,0.13
120,1994-03-01,546456.1529411759,1459806.6549019443,144553.47843137255,2150816.2862744927,1604360.133333317,0.09010039294047988,0.7459308094194729,,0.0
121,1994-04-01,15810.345098039215,1954077.7843137071,180928.15686274512,2150816.2862744913,2135005.941176452,0.08474363156247157,0.9926491420029998,0.08474363156247157,0.13
122,1994-05-01,943223.568627448,1108988.5137254752,98604.20392156862,2150816.286274492,1207592.7176470438,0.08165352645856941,0.5614578638600323,,0.0
123,1994-06-01,912224.7529411736,1140249.3294117507,98342.20392156862,2150816.2862744927,1238591.5333333192,0.0793984144691417,0.5758704456709917,,0.0
124,1994-07-01,46629.07058823528,1941214.8941176292,162972.32156862746,2150816.286274492,2104187.2156862565,0.07745143604794495,0.9783202912839184,0.07745143604794495,0.13
125,1994-08-01,628607.909803919,1373004.427450965,149203.94901960786,2150816.286274492,1522208.3764705728,0.09801808433452162,0.7077351916035777,,0.0
126,1994-09-01,21304.309803921573,1947023.8392156684,182488.13725490193,2150816.286274492,2129511.97647057,0.08569481612277935,0.9900947793914915,0.08569481612277935,0.13
127,1994-10-01,1420278.6627450958,692788.0470588165,37749.57647058823,2150816.2862745007,730537.6235294048,0.05167369243518336,0.33965598465631525,,0.0
128,1994-11-01,7406.729411764705,1949408.5647058645,194000.99215686275,2150816.286274492,2143409.5568627273,0.09051046335765095,0.9965563170322678,0.09051046335765095,0.13
129,1994-12-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
130,1995-01-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
131,1995-02-01,1052498.337254899,1020408.549019593,77909.4,2150816.2862744923,1098317.949019593,0.0709351969250301,0.5106516795639621,,0.0
132,1995-03-01,557049.8784313711,1518512.615686258,75253.79215686274,2150816.286274492,1593766.4078431209,0.047217579556533225,0.7410053652716859,,0.0
133,1995-04-01,19225.847058823532,1947618.5529411586,183971.88627450983,2150816.286274492,2131590.4392156685,0.08630733319586636,0.9910611393536892,0.08630733319586636,0.13
134,1995-05-01,1496096.1607843058,635471.015686273,19249.10980392157,2150816.2862745,654720.1254901945,0.029400516426021876,0.30440541559421463,,0.0
135,1995-06-01,1572977.956862731,477429.54117646924,100408.78823529412,2150816.286274494,577838.3294117633,0.17376623031827915,0.26866001206112206,,0.0
136,1995-07-01,5891.623529411765,1965769.1294117465,179155.53333333333,2150816.286274492,2144924.66274508,0.08352532676091738,0.997260749991987,0.08352532676091738,0.13
137,1995-08-01,10431.960784313724,1970366.250980374,170018.0745098039,2150816.286274492,2140384.3254901776,0.07943343281158977,0.9951497666951444,0.07943343281158977,0.13
138,1995-09-01,128536.99215686276,1895262.2392156697,127017.05490196079,2150816.286274493,2022279.2941176305,0.0628088589303296,0.9402380421902484,0.0628088589303296,0.13
139,1995-10-01,4766.498039215687,1954514.6392156682,191535.14901960787,2150816.286274492,2146049.788235276,0.08925009571987128,0.9977838655632127,0.08925009571987128,0.13
140,1995-11-01,22151.352941176472,1937750.3215686094,190914.61176470586,2150816.286274492,2128664.9333333154,0.0896874885169218,0.9897009553616755,0.0896874885169218,0.13
141,1995-12-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
142,1996-01-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
143,1996-02-01,2078397.305882336,62725.286274509985,9693.69411764706,2150816.286274493,72418.98039215704,0.13385571110162833,0.03367046309547738,,0.0
144,1996-03-01,1423599.6470588206,711182.9529411658,16033.686274509802,2150816.2862744965,727216.6392156755,0.022048018994453432,0.3381119270187937,,0.0
145,1996-04-01,37883.80392156863,1919293.2431372372,193639.23921568628,2150816.2862744923,2112932.4823529236,0.09164478317833095,0.9823863134367516,0.09164478317833095,0.13
146,1996-05-01,7866.1882352941175,1960286.7058823348,182663.39215686277,2150816.286274492,2142950.0980391977,0.08523921874055772,0.9963426963588232,0.08523921874055772,0.13
147,1996-06-01,2147.0,1969763.627450962,178905.65882352943,2150816.2862744913,2148669.2862744913,0.08326346914639815,0.9990017743432105,0.08326346914639815,0.13
148,1996-07-01,3177.3647058823526,1981479.1137254718,166159.80784313724,2150816.2862744913,2147638.921568609,0.07736859589123864,0.9985227168279509,0.07736859589123864,0.13
149,1996-08-01,81963.7803921568,1971600.2588235112,97252.24705882353,2150816.286274492,2068852.5058823347,0.047007820413638865,0.9618917799185306,0.047007820413638865,0.13
150,1996-09-01,9908.490196078432,1963359.7529411584,177548.0431372549,2150816.286274492,2140907.7960784133,0.0829311955715593,0.9953931489828722,0.0829311955715593,0.13
