data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6052907,48,BHR1561,1561,"23 May 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)","Shiite Muslim Group (Bahrain)",6,,,0,60,"Middle East",Bahrain,Northern,,,"Ash Shakhurah",26.2147,50.5069,1,"Abusaiba Media","New media","On 23/5/2019, a Shiite crowd took to the streets in Shakhurah in remembrance of five people who were killed in a police raid on a sit-on outside the house of Ayatollah Sheikh Isa Qassim in Diraz two years ago . [size=20-50]",0,1571164539,BHR
7200496,48,BHR1563,1563,"23 May 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)",,5,,,0,50,"Middle East",Bahrain,Southern,,,Nuwaidrat,26.1347,50.5975,1,"Al Wafa",Other,"On 23 May 2019, anti-regime rioters blocked a street in Nuwaidrat with burning tyres. They were denouncing the normalization of ties with Israel. [size=no report]",0,1600098930,BHR
7875550,48,BHR1559,1559,"23 May 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)","February 14 Youth Coalition; Shiite Muslim Group (Bahrain)",5,,,0,50,"Middle East",Bahrain,Capital,,,"Southern Sehla",26.2019,50.5368,1,"Revolution Bahrain; 14 February Revolution Youth Coalition","Other-New media","On 23 May 2019, anti-regime rioters who are part of the agitation led by the February 14 Youth Coalition, blocked a street in Southern Sehla with burning tyres. The February 14 Youth Coalition is currently commemorating five people who were killed in a police raid on a sit-on outside the house of Ayatollah Sheikh Isa Qassim in Diraz two years ago. [size=approximately 10]",0,1618859401,BHR
8749599,48,BHR1557,1557,"23 May 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)","Shiite Muslim Group (Bahrain)",6,,,0,60,"Middle East",Bahrain,Capital,,,Manama,26.2279,50.5857,1,"LuaLua TV",National,"On 23/5/2019, a Shiite crowd took to the streets in Manama in remembrance of five people who were killed in a police raid on a sit-on outside the house of Ayatollah Sheikh Isa Qassim in Diraz two years ago . [size=dozens]",0,1641867731,BHR
8820762,48,BHR1554,1554,"22 May 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)","Shiite Muslim Group (Bahrain)",6,,,0,60,"Middle East",Bahrain,Capital,,,Karbabad,26.2303,50.5294,1,"Bahrain Alyoum",National,"On 22/5/2019, a Shiite crowd took to the streets in Karbabad in remembrance of five people who were killed in a police raid on a sit-on outside the house of Ayatollah Sheikh Isa Qassim in Diraz two years ago . [size=20-50]",0,1644271366,BHR
7876006,48,BHR1558,1558,"19 May 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)","February 14 Youth Coalition",5,,,0,50,"Middle East",Bahrain,Northern,,,"Abu Saybi",26.2175,50.5069,1,"14 February Revolution Youth Coalition",Other,"On 19 May 2019, anti-regime rioters who are part of the agitation led by the February 14 Youth Coalition, blocked a street in Abu Saybi with burning tyres . The February 14 Youth Coalition is currently demanding the release of political prisoners. [size=no report]",0,1618859403,BHR
7876130,48,BHR1552,1552,"18 May 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)","Shiite Muslim Group (Bahrain)",5,,,0,50,"Middle East",Bahrain,Northern,,,"Abu Saybi",26.2175,50.5069,1,"Al Wafa",Other,"On 18 May 2019, Shiite anti-regime rioters blocked a street with burning debris in Abu Saybi. They were calling for the release of political prisoners. [size=no report]",0,1618859403,BHR
7876545,48,BHR1553,1553,"18 May 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)","Shiite Muslim Group (Bahrain)",5,,,0,50,"Middle East",Bahrain,Capital,,,Sufala,26.1587,50.6262,1,"Al Wafa",Other,"On 18 May 2019, Shiite anti-regime rioters blocked a street with burning debris in Sufala. They were showing their support for the Yemeni people.[size=no report]",0,1618859404,BHR
7876301,48,BHR1551,1551,"17 May 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)","Shiite Muslim Group (Bahrain)",5,,,0,50,"Middle East",Bahrain,Northern,,,Karzakkan,26.1156,50.4819,1,"Al Wafa",Other,"On 17 May 2019, Shiite anti-regime rioters blocked a street with burning debris in Karzakkan. They were commemorating a Shiite martyr. [size=no report]",0,1618859403,BHR
7882660,48,BHR1548,1548,"17 May 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Capital,,,"Al Musalla",26.2122,50.5372,1,"14 February Revolution Youth Coalition",Other,"On 17/5/2019, a protest was held in Musalla in remembrance of Palestinian martyrs, and against the presence of American troops in Bahrain. [size=20-50]",0,1618873885,BHR
8820776,48,BHR1535,1535,"17 May 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)","Shiite Muslim Group (Bahrain)",6,,,0,60,"Middle East",Bahrain,Northern,,,"Abu Saybi",26.2175,50.5069,1,"Bahrain Alyoum",National,"On 17/5/2019, a Shiite crowd took to the streets in Abu Saybi in support of prominent Shiite cleric Sayed Abdullah Al-Ghuraifi after he was accused by the Ministry of Interior of showing sympathy for terrorist acts. [size=50-100]",0,1644271366,BHR
8820777,48,BHR1536,1536,"17 May 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)","Shiite Muslim Group (Bahrain)",6,,,0,60,"Middle East",Bahrain,Northern,,,"Ash Shakhurah",26.2147,50.5069,1,"Bahrain Alyoum",National,"On 17/5/2019, a Shiite crowd took to the streets in Shakhurah in support of prominent Shiite cleric Sayed Abdullah Al-Ghuraifi after he was accused by the Ministry of Interior of showing sympathy for terrorist acts. [size=50-100]",0,1644271366,BHR
8820789,48,BHR1534,1534,"17 May 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)","Shiite Muslim Group (Bahrain)",6,,,0,60,"Middle East",Bahrain,Northern,,,Sar,26.1942,50.4819,1,"Bahrain Alyoum",National,"On 17/5/2019, a Shiite crowd took to the streets in Sar in support of prominent Shiite cleric Sayed Abdullah Al-Ghuraifi after he was accused by the Ministry of Interior of showing sympathy for terrorist acts. [size=20-50]",0,1644271366,BHR
7876299,48,BHR1550,1550,"16 May 2019",2019,1,Riots,"Violent demonstration","Rioters (Bahrain)","Shiite Muslim Group (Bahrain)",5,,,0,50,"Middle East",Bahrain,Capital,,,"Al Akr",26.1431,50.6103,1,"Al Wafa",Other,"On 16 May 2019, Shiite anti-regime rioters blocked a street with burning debris in Akr. They were denouncing the death sentence against two Shiites. [size=no report]",0,1618859403,BHR
8749600,48,BHR1543,1543,"16 May 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)","Shiite Muslim Group (Bahrain)",6,,,0,60,"Middle East",Bahrain,Capital,,,Manama,26.2279,50.5857,1,"LuaLua TV",National,"On 16/5/2019, a Shiite crowd held a rally in Manama in support of prominent Shiite cleric Sayed Abdullah Al-Ghuraifi after he was accused by the Ministry of Interior of showing sympathy for terrorist acts. [size=20-50]",0,1641867731,BHR
