GEOID,year,cluster,cluster_labels
13089021705,2019,Mostly developed space (all intensities),7
13089021706,2001,Mostly developed open + low intensity / some forest,3
13089021706,2019,Mostly developed open + low intensity / some forest,3
13089021805,2001,Mostly developed open + low intensity / some forest,3
13089021805,2019,Mostly developed open + low intensity / some forest,3
13089021806,2001,Mostly developed space (all intensities) / some forest,4
13089021806,2019,Mostly developed space (all intensities),7
13089021808,2001,"Mostly developed open + low intensity, little medium/high",5
13089021808,2019,"Mostly developed open + low intensity, little medium/high",5
13089021809,2001,Mostly developed open + low intensity / some forest,3
13089021809,2019,Mostly developed open + low intensity / some forest,3
13089021810,2001,Mostly developed space (all intensities),7
13089021810,2019,Mostly developed space (all intensities),7
13089021812,2001,"Mostly developed open + low intensity, little medium/high",5
13089021812,2019,"Mostly developed open + low intensity, little medium/high",5
13089021813,2001,Mostly medium to high intensity developed space,8
13089021813,2019,Mostly medium to high intensity developed space,8
13089021814,2001,Mostly developed space (all intensities),7
13089021814,2019,Mostly developed space (all intensities),7
13089021906,2001,"Mostly developed open + low intensity, little medium/high",5
13089021906,2019,"Mostly developed open + low intensity, little medium/high",5
13089021907,2001,Mostly forest / some developed open + low intensity space,2
13089021907,2019,Mostly forest / some developed open + low intensity space,2
13089021908,2001,Mostly developed space (all intensities) / some forest,4
13089021908,2019,Mostly developed space (all intensities) / some forest,4
13089021909,2001,"Mostly developed open + low intensity, little medium/high",5
13089021909,2019,"Mostly developed open + low intensity, some medium/high",6
13089021910,2001,Mostly developed space (all intensities),7
13089021910,2019,Mostly developed space (all intensities),7
13089021911,2001,Mostly medium to high intensity developed space,8
13089021911,2019,Mostly medium to high intensity developed space,8
13089021912,2001,Mostly forest / farmland,1
13089021912,2019,Mostly forest / some developed open + low intensity space,2
13089021913,2001,Mostly developed space (all intensities),7
