GEOID,class,value,year
13135050321,22,1022.0078431372549,2001
13135050321,21,1375.0,2001
13135050321,31,10.0,2001
13135050434,71,3.0,2001
13135050434,24,145.0235294117647,2001
13135050434,90,4.301960784313726,2001
13135050434,21,431.7411764705882,2001
13135050434,22,425.20392156862744,2001
13135050434,42,163.67843137254906,2001
13135050434,23,270.0235294117647,2001
13135050434,41,106.47450980392156,2001
13135050434,81,30.40392156862745,2001
13135050434,43,26.51372549019607,2001
13135050434,11,34.0,2001
13135050434,95,1.0,2001
13135050432,31,18.0,2001
13135050432,11,18.0,2001
13135050432,52,1.0,2001
13135050432,71,30.0,2001
13135050432,24,65.6156862745098,2001
13135050432,90,320.0,2001
13135050432,22,1104.5686274509803,2001
13135050432,41,607.0,2001
13135050432,23,273.10980392156864,2001
13135050432,81,28.0,2001
13135050432,42,511.9490196078431,2001
13135050432,43,360.0,2001
13135050432,21,1408.0549019607843,2001
13135050433,71,1.0,2001
13135050433,24,9.0,2001
13135050433,21,412.82745098039226,2001
13135050433,41,8.0,2001
13135050433,23,65.46666666666667,2001
13135050433,81,35.078431372549026,2001
13135050433,42,62.83137254901961,2001
13135050433,22,337.4745098039216,2001
13135050433,11,8.47843137254902,2001
13135050533,11,79.0,2001
13135050533,95,29.0,2001
13135050533,31,30.0,2001
13135050533,71,60.015686274509804,2001
13135050533,24,69.0,2001
13135050533,90,813.905882352941,2001
13135050533,22,1175.2980392156862,2001
13135050533,42,790.0,2001
13135050533,23,550.0,2001
13135050533,81,159.17254901960783,2001
13135050533,41,585.0117647058823,2001
13135050533,43,175.0,2001
13135050533,21,1138.0,2001
13135050435,31,20.0,2001
13135050435,11,40.0,2001
13135050435,95,10.0,2001
13135050435,52,6.0,2001
13135050435,71,15.0,2001
13135050435,24,220.05490196078432,2001
13135050435,90,492.0,2001
13135050435,22,780.0509803921569,2001
13135050435,42,332.16862745098035,2001
13135050435,23,417.44313725490196,2001
13135050435,81,54.0,2001
13135050435,41,270.9529411764706,2001
13135050435,43,131.39607843137253,2001
13135050435,21,680.1960784313727,2001
13135050534,71,57.34901960784314,2001
13135050534,24,41.023529411764706,2001
13135050534,90,51.0,2001
13135050534,21,904.2470588235294,2001
13135050534,43,168.11764705882354,2001
13135050534,23,359.08235294117645,2001
13135050534,42,396.97254901960787,2001
13135050534,81,57.28627450980392,2001
13135050534,41,349.0235294117647,2001
13135050534,22,961.8705882352941,2001
13135050534,11,12.0,2001
13135050534,31,56.0,2001
13135050532,31,70.0,2001
13135050532,11,19.0,2001
13135050532,95,2.0,2001
13135050532,52,2.0,2001
13135050532,71,33.0,2001
13135050532,24,88.0,2001
13135050532,90,282.32941176470587,2001
13135050532,22,1043.043137254902,2001
13135050532,41,721.3137254901965,2001
13135050532,23,437.0,2001
13135050532,81,213.04705882352943,2001
13135050532,42,627.0,2001
13135050532,43,200.61568627450976,2001
13135050532,21,1156.4588235294118,2001
13135050723,52,35.0,2001
13135050723,11,56.141176470588235,2001
13135050723,95,2.0,2001
13135050723,31,10.0,2001
13135050723,71,50.0,2001
13135050723,24,143.85882352941178,2001
13135050723,90,60.79607843137255,2001
13135050723,22,1276.7294117647057,2001
13135050723,42,1267.7372549019608,2001
13135050723,23,326.8627450980392,2001
13135050723,81,575.2588235294118,2001
13135050723,41,1955.1058823529409,2001
13135050723,43,479.27058823529427,2001
13135050723,21,1926.0823529411766,2001
13135050212,52,27.0,2001
13135050212,95,31.31764705882353,2001
13135050212,11,556.1372549019605,2001
13135050212,31,164.45098039215685,2001
13135050212,71,152.20392156862744,2001
13135050212,24,67.0,2001
13135050212,90,509.3019607843137,2001
13135050212,43,452.68235294117653,2001
13135050212,42,2763.176470588235,2001
13135050212,81,1231.443137254902,2001
13135050212,23,733.1019607843137,2001
13135050212,41,4468.360784313725,2001
13135050212,22,2188.3882352941177,2001
13135050212,21,2219.6352941176474,2001
13135050210,52,20.0,2001
13135050210,11,74.56470588235294,2001
13135050210,95,26.0,2001
13135050210,31,426.3764705882353,2001
13135050210,71,193.0,2001
13135050210,24,977.0,2001
13135050210,90,935.4627450980391,2001
13135050210,22,1332.4941176470588,2001
13135050210,41,3142.2000000000003,2001
13135050210,23,1211.9607843137255,2001
13135050210,81,506.7725490196078,2001
13135050210,42,1247.8980392156864,2001
13135050210,43,367.14901960784323,2001
13135050210,21,1258.4901960784312,2001
13135050606,31,511.0,2001
13135050606,11,161.0,2001
13135050606,95,5.0,2001
13135050606,52,147.0,2001
13135050606,71,555.0,2001
13135050606,24,533.2901960784313,2001
13135050606,90,529.6156862745098,2001
13135050606,22,4003.0588235294117,2001
13135050606,41,12062.623529411765,2001
13135050606,23,1234.8980392156864,2001
13135050606,81,6667.266666666666,2001
13135050606,42,4510.121568627451,2001
13135050606,43,2442.0666666666666,2001
13135050606,21,3846.913725490196,2001
13135050606,0,0.011764705882352941,2001
13135050525,31,160.0,2001
13135050525,11,184.46274509803928,2001
13135050525,95,6.0,2001
13135050525,52,14.0,2001
13135050525,71,99.81176470588235,2001
13135050525,24,651.0,2001
13135050525,90,203.02352941176468,2001
13135050525,22,1735.392156862745,2001
13135050525,42,664.5137254901961,2001
13135050525,23,1035.9137254901962,2001
13135050525,81,174.8901960784314,2001
13135050525,41,1315.2039215686284,2001
13135050525,43,265.06666666666666,2001
13135050525,21,1162.478431372549,2001
13135050214,31,105.38823529411765,2001
13135050214,95,32.03137254901961,2001
13135050214,11,309.9607843137254,2001
13135050214,52,34.0,2001
13135050214,71,118.94901960784313,2001
13135050214,24,187.0,2001
13135050214,90,442.01176470588234,2001
13135050214,43,284.76862745098043,2001
